,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
13,frozenset({'Apples Pink Lady'}),frozenset({'Carrots 1kg'}),0.03637412760345112,0.0375666318623949,0.0024399626312029453,0.06707961927783652,1.7856170743106952,0.0010735091702083206,1.0316350548506572
14,frozenset({'Cucumber continental'}),frozenset({'Apples Pink Lady'}),0.04525471231521679,0.03637412760345112,0.002533384623839094,0.05598057073466909,1.5390216734533515,0.0008872839434279276,1.0207691097485954
15,frozenset({'Apples Pink Lady'}),frozenset({'Cucumber continental'}),0.03637412760345112,0.04525471231521679,0.002533384623839094,0.06964798307901494,1.5390216734533515,0.0008872839434279276,1.026219399023316
16,frozenset({'Field Tomatoes'}),frozenset({'Apples Pink Lady'}),0.06430180799032807,0.03637412760345112,0.0034676045502005826,0.05392701478506111,1.482565173052964,0.0011286823812277766,1.0185534176072284
17,frozenset({'Apples Pink Lady'}),frozenset({'Field Tomatoes'}),0.03637412760345112,0.06430180799032807,0.0034676045502005826,0.0953316210907992,1.482565173052964,0.0011286823812277766,1.0342996547949264
18,frozenset({'Lettuce Iceberg'}),frozenset({'Apples Pink Lady'}),0.049392757047865034,0.03637412760345112,0.002593834148486014,0.052514463729416996,1.4437312229705408,0.0007972157009407115,1.0170349155824543
19,frozenset({'Apples Pink Lady'}),frozenset({'Lettuce Iceberg'}),0.03637412760345112,0.049392757047865034,0.002593834148486014,0.07130986553860098,1.4437312229705408,0.0007972157009407115,1.023600022954316
20,frozenset({'Mandarin Imperial'}),frozenset({'Apples Pink Lady'}),0.04346320822113535,0.03637412760345112,0.003049953289003682,0.07017322038184347,1.9292069667448337,0.0014690170071127388,1.0363498809878031
21,frozenset({'Apples Pink Lady'}),frozenset({'Mandarin Imperial'}),0.03637412760345112,0.04346320822113535,0.003049953289003682,0.08384952409729565,1.929206966744834,0.0014690170071127388,1.0440826228206308
22,frozenset({'Orange navel'}),frozenset({'Apples Pink Lady'}),0.031016101555201406,0.03637412760345112,0.002687256141122163,0.08664068036853295,2.3819315012331077,0.001559072505391668,1.0550348057819827
23,frozenset({'Apples Pink Lady'}),frozenset({'Orange navel'}),0.03637412760345112,0.031016101555201406,0.002687256141122163,0.07387822933977942,2.3819315012331077,0.001559072505391668,1.0462813089406398
24,frozenset({'Pear Packham'}),frozenset({'Apples Pink Lady'}),0.03493432983458812,0.03637412760345112,0.004176512611969006,0.11955324838760421,3.286766068755452,0.002905806840824648,1.0944737664507522
25,frozenset({'Apples Pink Lady'}),frozenset({'Pear Packham'}),0.03637412760345112,0.03493432983458812,0.004176512611969006,0.1148209699350355,3.286766068755452,0.002905806840824648,1.090249133098628
26,frozenset({'Pumpkin Japanese/Kent'}),frozenset({'Apples Pink Lady'}),0.040281365060174754,0.03637412760345112,0.002148705830631423,0.053342428376534794,1.4664936835893694,0.0006835063178914288,1.0179244335879383
27,frozenset({'Apples Pink Lady'}),frozenset({'Pumpkin Japanese/Kent'}),0.03637412760345112,0.040281365060174754,0.002148705830631423,0.05907236742710379,1.4664936835893694,0.0006835063178914288,1.0199707200813588
28,frozenset({'Watermelon seedless'}),frozenset({'Apples Pink Lady'}),0.07010496235643238,0.03637412760345112,0.002698246963785239,0.03848867288547464,1.0581332232920109,0.0001482401173972304,1.0021991891539845
29,frozenset({'Apples Pink Lady'}),frozenset({'Watermelon seedless'}),0.03637412760345112,0.07010496235643238,0.002698246963785239,0.07418038978697687,1.0581332232920109,0.0001482401173972304,1.004401967063116
30,frozenset({'Apples Red Delicious'}),frozenset({'Banana Cavendish'}),0.007517722701544211,0.20284112765840523,0.0031378798703082925,0.41739766081871343,2.0577565587272435,0.0016129765201038722,1.3682726943077812
31,frozenset({'Banana Cavendish'}),frozenset({'Apples Red Delicious'}),0.20284112765840523,0.007517722701544211,0.0031378798703082925,0.015469643195795291,2.0577565587272435,0.0016129765201038722,1.0080768667408724
